AMERICA			0.19237685420623252  0.5449079127521437   0.5115243136834268   158491              
AUSTRIA			0.20882852292020374  0.4465195246179966   0.6400679117147708   589                 
CANADA			0.1977615308240816   0.48515208953876704  0.5797454643920932   11079               
EMIRATES			0.24178403755868544  0.4953051643192488   0.5892018779342723   426                 
FRANCE			0.32856006364359586  0.53369701102398     0.690533015115354    8799                
GERMANY			0.2323037323037323   0.4451737451737452   0.6680823680823681   7770                
IRAN			0.21568627450980393  0.45588235294117646  0.6568627450980392   408                 
ITALY			0.24898373983739838  0.4893292682926829   0.6407520325203252   3936                
MEXICO			0.2781995661605206   0.5086767895878525   0.6637744034707158   1844                
NETHERLANDS			0.20222266322683072  0.514983131573725    0.5413772573923398   5039                
SPAIN			0.2552533992583436   0.507416563658838    0.6223733003708282   1618                
