AMERICA			0.24401385567634756  0.6172085481194516   0.6266538794000921   158491              
AUSTRIA			0.24787775891341257  0.4923599320882852   0.7555178268251274   589                 
CANADA			0.24632187020489213  0.542287210037007    0.7040346601678852   11079               
EMIRATES			0.2934272300469484   0.5586854460093896   0.7347417840375586   426                 
FRANCE			0.371405841572906    0.5794976701897943   0.7916808728264576   8799                
GERMANY			0.27374517374517376  0.49472329472329474  0.7787644787644787   7770                
IRAN			0.27450980392156865  0.5024509803921569   0.7720588235294118   408                 
ITALY			0.28988821138211385  0.540650406504065    0.7492378048780488   3936                
MEXICO			0.31724511930585686  0.5580260303687635   0.7592190889370932   1844                
NETHERLANDS			0.2524310379043461   0.58801349474102     0.664417543163326    5039                
SPAIN			0.30716934487021014  0.5704573547589616   0.7360939431396786   1618                
